"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UU45ZLSZ","bookSection","2020","Atale, Neha; Rani, Vibha","Angiogenesis: A Therapeutic Target for Cancer","","978-981-15-7586-0","","","https://doi.org/10.1007/978-981-15-7586-0_9","The proliferation and metastatic spread of tumor cells depend on the newly developed blood vessels. Vasculature not only provides an adequate supply of oxygen and nutrients but also removes waste products or gas exchange. The process of angiogenesis is controlled by various transcriptional factors and growth factors. It has been observed that the discovery of angiogenic inhibitors can help to reduce carcinomas growth. Presently, chemotherapeutic drugs mediated inhibition of hypoxia-inducible factor (HIF-1), which initiates neovascularization under hypoxic conditions in the tumor, is being investigated. Vascular endothelial growth factor (VEGF) and receptor VEGFR mediated activation of endothelial cells are also inhibited by chemotherapeutic drugs. Furthermore, chemotherapeutic drugs inhibit the PI3K/AKT/mTOR signaling pathways mediated growth of new blood vessels. The aim of this chapter would be to highlight the role of angiogenesis in cancer progression. Furthermore, various anti-cancer therapeutic strategies/trials based upon inhibition of blood vessels would also be discussed.","2020","2025-07-24 20:26:36","2025-07-24 20:26:36","2024-09-19","165–183","","","","","","Angiogenesis","","","","","Springer","Singapore","en","","","","","","","Citation Key: Atale2020 DOI: 10.1007/978-981-15-7586-0_9","","","","Anti-angiogenesis drugs; Endothelial cell; Hypoxia-inducible factor; Tumor angiogenesis; Vascular endothelial growth factor","","Tuli, Hardeep Singh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AEYH373Z","journalArticle","1998","Anderson, A. R.; Chaplain, M. A.","Continuous and discrete mathematical models of tumor-induced angiogenesis","Bulletin of Mathematical Biology","","0092-8240","10.1006/bulm.1998.0042","","Angiogenesis, the formation of blood vessels from a pre-existing vasculature, is a process whereby capillary sprouts are formed in response to externally supplied chemical stimuli. The sprouts then grow and develop, driven initially by endothelial-cell migration, and organize themselves into a dendritic structure. Subsequent cell proliferation near the sprout tip permits further extension of the capillary and ultimately completes the process. Angiogenesis occurs during embryogenesis, wound healing, arthritis and during the growth of solid tumors. In this paper we present both continuous and discrete mathematical models which describe the formation of the capillary sprout network in response to chemical stimuli (tumor angiogenic factors, TAF) supplied by a solid tumor. The models also take into account essential endothelial cell-extracellular matrix interactions via the inclusion of the matrix macromolecule fibronectin. The continuous model consists of a system of nonlinear partial differential equations describing the initial migratory response of endothelial cells to the TAF and the fibronectin. Numerical simulations of the system, using parameter values based on experimental data, are presented and compared qualitatively with in vivo experiments. We then use a discretized form of the partial differential equations to develop a biased random-walk model which enables us to track individual endothelial cells at the sprout tips and incorporate anastomosis, mitosis and branching explicitly into the model. The theoretical capillary networks generated by computer simulations of the discrete model are compared with the morphology of capillary networks observed in in vivo experiments.","1998-09","2025-07-24 20:26:37","2025-07-24 20:26:37","","857–899","","5","60","","","","","","","","","","eng","","","","","","","Citation Key: Anderson1998 PMID: 9739618","","","","Angiogenesis Inducing Agents; Animals; Arteriovenous Anastomosis; Biological; Capillaries; Cell Communication; Cell Division; Computer Simulation; Computer-Assisted; Endothelium; Experimental; Fibronectins; Humans; Mitosis; Models; Neoplasms; Neovascularization; Numerical Analysis; Pathologic; Stochastic Processes; Vascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GARET6JS","journalArticle","2021","Uçar, Mehmet Can; Kamenev, Dmitrii; Sunadome, Kazunori; Fachet, Dominik; Lallemend, Francois; Adameyko, Igor; Hadjab, Saida; Hannezo, Edouard","Theory of branching morphogenesis by local interactions and global guidance","Nature Communications","","2041-1723","10.1038/s41467-021-27135-5","","Branching morphogenesis governs the formation of many organs such as lung, kidney, and the neurovascular system. Many studies have explored system-specific molecular and cellular regulatory mechanisms, as well as self-organizing rules underlying branching morphogenesis. However, in addition to local cues, branched tissue growth can also be influenced by global guidance. Here, we develop a theoretical framework for a stochastic self-organized branching process in the presence of external cues. Combining analytical theory with numerical simulations, we predict differential signatures of global vs. local regulatory mechanisms on the branching pattern, such as angle distributions, domain size, and space-filling efficiency. We find that branch alignment follows a generic scaling law determined by the strength of global guidance, while local interactions influence the tissue density but not its overall territory. Finally, using zebrafish innervation as a model system, we test these key features of the model experimentally. Our work thus provides quantitative predictions to disentangle the role of different types of cues in shaping branched structures across scales.","2021-11","2025-07-24 20:26:37","2025-07-24 20:26:37","2025-07-16","6830","","1","12","","","","","","","","","","english","","","","","","","Citation Key: ucarTheoryBranchingMorphogenesis2021 Publisher: Nature Publishing Group tex.copyright: 2021 The Author(s)","","","","Computational biophysics; Embryonic induction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BABHEEBL","journalArticle","2017","Hannezo, Edouard; Scheele, Colinda L. G. J.; Moad, Mohammad; Drogo, Nicholas; Heer, Rakesh; Sampogna, Rosemary V.; van Rheenen, Jacco; Simons, Benjamin D.","A Unifying Theory of Branching Morphogenesis","Cell","","0092-8674","10.1016/j.cell.2017.08.026","","The morphogenesis of branched organs remains a subject of abiding interest. Although much is known about the underlying signaling pathways, it remains unclear how macroscopic features of branched organs, including their size, network topology, and spatial patterning, are encoded. Here, we show that, in mouse mammary gland, kidney, and human prostate, these features can be explained quantitatively within a single unifying framework of branching and annihilating random walks. Based on quantitative analyses of large-scale organ reconstructions and proliferation kinetics measurements, we propose that morphogenesis follows from the proliferative activity of equipotent tips that stochastically branch and randomly explore their environment but compete neutrally for space, becoming proliferatively inactive when in proximity with neighboring ducts. These results show that complex branched epithelial structures develop as a self-organized process, reliant upon a strikingly simple but generic rule, without recourse to a rigid and deterministic sequence of genetically programmed events.","2017-09","2025-07-24 20:26:37","2025-07-24 20:26:37","2025-07-16","242-255.e27","","1","171","","","","","","","","","","","","","","","","","Citation Key: hannezoUnifyingTheoryBranching2017","","","","branching and annihilating random walks; branching morphogenesis; kidney; mammary gland; mathematical modeling; prostate; self-organization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4TLDX4A","journalArticle","2021","Nardini, John T.; Stolz, Bernadette J.; Flores, Kevin B.; Harrington, Heather A.; Byrne, Helen M.","Topological data analysis distinguishes parameter regimes in the Anderson-Chaplain model of angiogenesis","PLoS Computational Biology","","1553-734X","10.1371/journal.pcbi.1009094","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8270459/","Angiogenesis is the process by which blood vessels form from pre-existing vessels. It plays a key role in many biological processes, including embryonic development and wound healing, and contributes to many diseases including cancer and rheumatoid arthritis. The structure of the resulting vessel networks determines their ability to deliver nutrients and remove waste products from biological tissues. Here we simulate the Anderson-Chaplain model of angiogenesis at different parameter values and quantify the vessel architectures of the resulting synthetic data. Specifically, we propose a topological data analysis (TDA) pipeline for systematic analysis of the model. TDA is a vibrant and relatively new field of computational mathematics for studying the shape of data. We compute topological and standard descriptors of model simulations generated by different parameter values. We show that TDA of model simulation data stratifies parameter space into regions with similar vessel morphology. The methodologies proposed here are widely applicable to other synthetic and experimental data including wound healing, development, and plant biology., Vascular networks play a key role in many physiological processes, by delivering nutrition to, and removing waste from, biological tissues. In cancer, tumors stimulate the growth of new blood vessels, via a process called angiogenesis. The resulting vascular structure comprises many inter-connected vessels which lead to emergent morphologies that influence the rate of tumor growth and treatment efficacy. In this work, we consider several approaches to summarize the morphology of synthetic vascular networks generated from a mathematical model of tumor-induced angiogenesis. We find that a topological approach can be used quantify vascular morphology of model simulations and group the simulations into biologically interpretable clusters. This methodology may be useful for the diagnosis of abnormal blood vessel networks and quantifying the efficacy of vascular-targeting treatments.","2021-06","2025-07-24 20:26:37","2025-07-24 20:26:37","2024-09-19","e1009094","","6","17","","","","","","","","","","","","","","","","","Citation Key: Nardini2021 PMID: 34181657 tex.pmcid: PMC8270459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WPYN4GIK","journalArticle","2017","Hannezo, Edouard; Scheele, Colinda L. G. J.; Moad, Mohammad; Drogo, Nicholas; Heer, Rakesh; Sampogna, Rosemary V.; van Rheenen, Jacco; Simons, Benjamin D.","A Unifying Theory of Branching Morphogenesis","Cell","","0092-8674","10.1016/j.cell.2017.08.026","https://www.sciencedirect.com/science/article/pii/S0092867417309510","The morphogenesis of branched organs remains a subject of abiding interest. Although much is known about the underlying signaling pathways, it remains unclear how macroscopic features of branched organs, including their size, network topology, and spatial patterning, are encoded. Here, we show that, in mouse mammary gland, kidney, and human prostate, these features can be explained quantitatively within a single unifying framework of branching and annihilating random walks. Based on quantitative analyses of large-scale organ reconstructions and proliferation kinetics measurements, we propose that morphogenesis follows from the proliferative activity of equipotent tips that stochastically branch and randomly explore their environment but compete neutrally for space, becoming proliferatively inactive when in proximity with neighboring ducts. These results show that complex branched epithelial structures develop as a self-organized process, reliant upon a strikingly simple but generic rule, without recourse to a rigid and deterministic sequence of genetically programmed events.","2017-09","2025-07-24 20:26:37","2025-07-24 20:26:37","2024-09-19","242–255.e27","","1","171","","","","","","","","","","","","","","","","","Citation Key: Hannezo2017","","","https://www.sciencedirect.com/science/article/pii/S0092867417309510/pdfft?md5=a53bc8b7423aa0fc223341aeb0553091&pid=1-s2.0-S0092867417309510-main.pdf&isDTMRedir=Y","branching and annihilating random walks; branching morphogenesis; kidney; mammary gland; mathematical modeling; prostate; self-organization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GHRYDR2","journalArticle","2022","Ben-Ami, Y.; Atkinson, G. W.; Pitt-Francis, J. M.; Maini, P. K.; Byrne, H. M.","Structural Features of Microvascular Networks Trigger Blood Flow Oscillations","Bulletin of Mathematical Biology","","0092-8240, 1522-9602","10.1007/s11538-022-01046-y","","Abstract We analyse mathematical models in order to understand how microstructural features of vascular networks may affect blood flow dynamics, and to identify particular characteristics that promote the onset of self-sustained oscillations. By focusing on a simple three-node motif, we predict that network “redundancy”, in the form of a redundant vessel connecting two main flow-branches, together with differences in haemodynamic resistance in the branches, can promote the emergence of oscillatory dynamics. We use existing mathematical descriptions for blood rheology and haematocrit splitting at vessel branch-points to construct our flow model; we combine numerical simulations and stability analysis to study the dynamics of the three-node network and its relation to the system's multiple steady-state solutions. While, for the case of equal inlet-pressure conditions, a “trivial” equilibrium solution with no flow in the redundant vessel always exists, we find that it is not stable when other, stable, steady-state attractors exist. In turn, these “nontrivial” steady-state solutions may undergo a Hopf bifurcation into an oscillatory state. We use the branch diameter ratio, together with the inlet haematocrit rate, to construct a two-parameter stability diagram that delineates regimes in which such oscillatory dynamics exist. We show that flow oscillations in this network geometry are only possible when the branch diameters are sufficiently different to allow for a sufficiently large flow in the redundant vessel, which acts as the driving force of the oscillations. These microstructural properties, which were found to promote oscillatory dynamics, could be used to explore sources of flow instability in biological microvascular networks.","2022-08","2025-07-24 20:26:37","2025-07-24 20:26:37","2025-04-26","85","","8","84","","","","","","","","","","english","","","","","","","Citation Key: ben-amiStructuralFeaturesMicrovascular2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7KQFKNJ","journalArticle","2021","Uçar, Mehmet Can; Kamenev, Dmitrii; Sunadome, Kazunori; Fachet, Dominik; Lallemend, Francois; Adameyko, Igor; Hadjab, Saida; Hannezo, Edouard","Theory of branching morphogenesis by local interactions and global guidance","Nature Communications","","2041-1723","10.1038/s41467-021-27135-5","","Branching morphogenesis governs the formation of many organs such as lung, kidney, and the neurovascular system. Many studies have explored system-specific molecular and cellular regulatory mechanisms, as well as self-organizing rules underlying branching morphogenesis. However, in addition to local cues, branched tissue growth can also be influenced by global guidance. Here, we develop a theoretical framework for a stochastic self-organized branching process in the presence of external cues. Combining analytical theory with numerical simulations, we predict differential signatures of global vs. local regulatory mechanisms on the branching pattern, such as angle distributions, domain size, and space-filling efficiency. We find that branch alignment follows a generic scaling law determined by the strength of global guidance, while local interactions influence the tissue density but not its overall territory. Finally, using zebrafish innervation as a model system, we test these key features of the model experimentally. Our work thus provides quantitative predictions to disentangle the role of different types of cues in shaping branched structures across scales.","2021-11","2025-07-24 20:26:37","2025-07-24 20:26:37","","6830","","1","12","","","","","","","","","","eng","","","","","","","Citation Key: Ucar2021 PMID: 34819507 tex.pmcid: PMC8613190","","","","Animals; Biological; Models; Stochastic Processes; Animal; Genes; Genetically Modified; Intravital Microscopy; Morphogenesis; Reporter; Sensory Receptor Cells; Zebrafish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRKMSRYV","journalArticle","2023","Uçar, Mehmet Can; Hannezo, Edouard; Tiilikainen, Emmi; Liaqat, Inam; Jakobsson, Emma; Nurmi, Harri; Vaahtomeri, Kari","Self-organized and directed branching results in optimal coverage in developing dermal lymphatic networks","Nature Communications","","2041-1723","10.1038/s41467-023-41456-7","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10514270/","Branching morphogenesis is a ubiquitous process that gives rise to high exchange surfaces in the vasculature and epithelial organs. Lymphatic capillaries form branched networks, which play a key role in the circulation of tissue fluid and immune cells. Although mouse models and correlative patient data indicate that the lymphatic capillary density directly correlates with functional output, i.e., tissue fluid drainage and trafficking efficiency of dendritic cells, the mechanisms ensuring efficient tissue coverage remain poorly understood. Here, we use the mouse ear pinna lymphatic vessel network as a model system and combine lineage-tracing, genetic perturbations, whole-organ reconstructions and theoretical modeling to show that the dermal lymphatic capillaries tile space in an optimal, space-filling manner. This coverage is achieved by two complementary mechanisms: initial tissue invasion provides a non-optimal global scaffold via self-organized branching morphogenesis, while VEGF-C dependent side-branching from existing capillaries rapidly optimizes local coverage by directionally targeting low-density regions. With these two ingredients, we show that a minimal biophysical model can reproduce quantitatively whole-network reconstructions, across development and perturbations. Our results show that lymphatic capillary networks can exploit local self-organizing mechanisms to achieve tissue-scale optimization., The lymphatic system is a transport network that controls immune response and tissue fluid circulation in the body. Here the authors combine experiment and theory to reveal that developing lymphatic capillary networks exploit complementary branching strategies to optimize tissue coverage.","2023-09","2025-07-24 20:26:37","2025-07-24 20:26:37","2024-09-19","5878","","","14","","","","","","","","","","","","","","","","","Citation Key: Ucar2023 PMID: 37735168 tex.pmcid: PMC10514270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USPUQMV4","journalArticle","2010","Pries, Axel R.; Höpfner, Michael; le Noble, Ferdinand; Dewhirst, Mark W.; Secomb, Timothy W.","The shunt problem: control of functional shunting in normal and tumour vasculature","Nature Reviews Cancer","","1474-1768","10.1038/nrc2895","https://www.nature.com/articles/nrc2895","This Opinion article discusses how aberrant vascular remodelling might lead to tumour hypoxia. What controls this process, and could this be reversed — or normalized — by anti-angiogenic therapies?","2010-08","2025-07-24 20:26:37","2025-07-24 20:26:37","2024-09-19","587–593","","8","10","","","The shunt problem","","","","","","","en","","","","","","","Citation Key: Pries2010 Publisher: Nature Publishing Group tex.copyright: 2010 Springer Nature Limited","","","","Mechanisms of disease; Targeted therapies; Tumour angiogenesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
